name,desc
ขวัญเมือง นวลสาย,สส.เขต (ศรีสะเกษ เขต 6)
ทองสูรย์ เจตนา,สส.เขต (ศรีสะเกษ เขต 7)
เลิศชาย ชาลี,สส.เขต (ศรีสะเกษ เขต 8)
เบญญาภา บุญกำเหนิด,สส.เขต (สงขลา เขต 1)
ธิรัชโชติ เกิดสุวรรณ,สส.เขต (สงขลา เขต 2)
ธนพร ทองชุม,สส.เขต (สงขลา เขต 3)
เอื้อมพร บุญมรกต,สส.เขต (สงขลา เขต 4)
โสภา บุสโร,สส.เขต (สงขลา เขต 5)
กมลชนก จันทร์แดง,สส.เขต (สงขลา เขต 6)
สุรินทร์ ศรณราย,สส.เขต (สงขลา เขต 7)
ศิริชัย ทองบุญช่วย,สส.เขต (สงขลา เขต 8)
เวชยันต์ แสนสายเนตร,สส.เขต (อุดรธานี เขต 1)
สุรพล วงศ์คำจันทร์,สส.เขต (อุดรธานี เขต 2)
นิวัฒน์ สิทธิไทย,สส.เขต (อุดรธานี เขต 3)
พงษ์เทพ กลางชัย,สส.เขต (อุดรธานี เขต 4)
กุสุมา เศรษฐภักดี,สส.เขต (อุดรธานี เขต 5)
อำนวย เครือน้ำคำ,สส.เขต (อุดรธานี เขต 6)
วิชัย จันทะสิม,สส.เขต (อุดรธานี เขต 7)
นริศรา เครือน้ำคำ,สส.เขต (อุดรธานี เขต 8)
ธัญญะ ผลธัญญา,สส.เขต (เชียงใหม่ เขต 1)
สมัย ประดิษฐ์,สส.เขต (เชียงใหม่ เขต 2)
วิมลลักษณ์ บุญรัตนพิริยะ,สส.เขต (เชียงใหม่ เขต 3)
สิงห์คำ ไชยวัง,สส.เขต (เชียงใหม่ เขต 4)
เชาวศักดิ์ สมวงค์,สส.เขต (เชียงใหม่ เขต 5)
ธนะยศกร์ อรรถสุภาพงศ์,สส.เขต (เชียงใหม่ เขต 6)
ชาญชัย ศรีวชิรพันธ์,สส.เขต (เชียงใหม่ เขต 7)
บุญสม หลุยจำวัล,สส.เขต (เชียงใหม่ เขต 8)
เฉลิมพงษ์ พัฒนาศาสตร์กุล,สส.เขต (เชียงใหม่ เขต 9)
จุมพล สวัสดิผล,สส.เขต (ขอนแก่น เขต 1)
เข็มพร มาตสมบัติ,สส.เขต (ขอนแก่น เขต 2)
สถาพร ระวิสิทธิ์,สส.เขต (ขอนแก่น เขต 3)
วินัย ประวันนา,สส.เขต (ขอนแก่น เขต 4)
นิติรัฐ เวียงนนท์,สส.เขต (ขอนแก่น เขต 5)
สุระ สุขแป,สส.เขต (ขอนแก่น เขต 6)
พชรธรณ์พงษ์ แสงสิงห์,สส.เขต (ขอนแก่น เขต 7)
เบญจมาศ หนูมา,สส.เขต (ขอนแก่น เขต 8)
วันเพ็ญ ชินรินทร์,สส.เขต (ขอนแก่น เขต 9)
โพธิ์คำ ป้องปาน,สส.เขต (ขอนแก่น เขต 10)
